,lyrics,title,album,,,
,"Sometimes I ponder 
What if the Sun and Sea 
Should merger 
Over my shoulder 
With Irish lakes 
And Seoul suburbia 

Abandon ship 

Take me up 
High aloft to peace 

I didn't know 
That you would take it to heart 

I didn't know 
That it would break us apart this way 

To much 
Too soon 

Good buy 
Yeh! Yeh! ",Alternate Route to Vulcan Street,Rings around the World,,,
,"Patti Whitebull fell asleep for 15 years 
Then unexpectedly she woke to joy and tears 
She ordered pizza and then asked about her kids 
They're all grown up now on the reservation grid 

Sidewalk Serfer girl 
I'd do anything to catch you falling 
Sidewalk surfer girl 
I'd do anything to be with you, sometimes 

Since Patty fell asleep things got so extreme 
Surfer boys and girls searching for a dream 
Paraglide from space die your bungee best 
Set yourself alight whilst famine kills the rest 

Sidewalk Serfer girl 
I'd do anything to catch you falling 
Sidewalk surfer girl 
I'd do anything to be with you, sometimes 

She fell through the net 
Tarred and feathered girl 
Sidewalk Serfer girl 
I'd do anything to catch you falling 
Sidewalk surfer girl 
I'd do anything to be with you, sometimes ",Sidewalk Serfer Girl,Rings around the World,,,
,"You expose the film in me, we're drawing: 
Rings around the World 

Sooner or later we will melt together 
And draw: 
Rings around The World 

With all those meteoric stones 
And all those sheep they never clone 

I am glowing radioactive 
We draw 
Beams around The World 
Wish you could see us when we're at our best now: 
We draw Rings around The World 
With cans of Post Water in tow 
We gonna vaporize your soul 

Earth will become Saturn II 
With all those Rings around The World 
Tetsuo II became me and you 
With all those rings around the World 
And all those Body Hammer blows 
We're drawing Rings around the world 

[Telephone] :'Ring! Ring!' 
[Human]'' Hello!' 
[Telephone]:'Ring! Ring!' 
[Human]:'Hello!' 
[S.F.A]:'Rings around The World' ",Rings around the world,Rings around the World,,,
,"Why? 

When you fall asleep 
Before the end of the day 
You start to worry 

Like when the taxi comes 
To take you away 
When you're in no hurry 

Yet as our hair turns white 
All the stars still shine 
So bright, above 

At least 
It's not the end of the world 

Why?. 

We could live it large 
Because we're only old once 
Let's make a difference. 

Turn all the hate in the world 
Into a mocking bird 
Make it fly away 

Yet as our hair turns gray 
Everything is far 
From A. O.K 

At least it's not the end of the world.",Its not the end of the world,Rings around the World,,,
,"It took a long time for me to get over 
Your incredible ways 
And now I'm minded to wipe out the memory 
Of the way you behaved 

I was so gullible 
But now I'm cynical 

I took some time out to study your actions 
Of how you painted towns red 
And if my worse fears came to fruition 
I'm shure you'd leave us all dead 

You're a recepticle 
For the respectable 

We're all seseptable 
To the Incredible 

Welcome as a storm cloud 
In the late December gloom 
Subtle as a nail bomb in the head 
You came to me in peace 
And left me in pieces. 

Recepticle for the respectable ",Receptacle for the respectable,Rings around the World,,,
,"Shoot Doris Day 
Out of the way 
In the pouring rain 

Sentimentality pause 
As Jimmy Stewart ignores 
Her question 

People never stay the same 
It's a fight between the wild and tame 
I've some feelings that I can't get through 
Even to you my friend. 
Wasting away in vain 
Oh! Mercy 

Victor Panache 
Lost his moustache 
In a P.R war 

Public relationship tears 
No one would touch him 
For years 
You betcha 

People never stay the same 
It's a fight between the wild and tame 
I've some feelings that I can't get through 
Even to you my friend. 
Wasting away in vain 
Don't tempt me. 

People never stay the same 
It's a fight between the wild and tame 
I've some feelings that I can't get through 
Even to you my friend. 
But that never bothered you. 

People never stay the same 
It's a fight between the strong and lame 
I've some feelings that I cant get through 
I'll just binge on Crack and Tiramisou 

Nothing ever stays the same 
Without to much fun and halibaloo 

Animals don't stay the same 
Ive some feelings that I cant get through 
Without turning to a military coup ",Shoot Doris Day,Rings around the World,,,
,"I have no sympathy for you 
You make me realise 
The who I am 

I have no sympathy for thee 
You make me realise 
The who I am not 

Sympathy, sympathy 
You want some: 
Don't come to me 

Don't try me for sympathy 
I don't feel sorry for thee: 

You deserve to die 

I have no adjectives for you 
And have no feelings 
For the who you are 

I feel no empathy for you 
You make me realise 
The who I am not. 

Sympathy, sympathy 
You want some: 
Don't come to me 

Don't try me for sympathy 
I don't feel sorry for thee: 

You deserve to die. ",No sympathy,Rings around the World,,,
,"It's easy when you know how 
To get along without Biff! Bang! Pow! 
And if I see that you're fed up, 
I'll stop and give you a leg up. 
Over priced unreal estate, 
Surreal estate, 
The highest price they've hit to date, 
Creating new divides and tension. 

You've got to tolerate, 
All those people that you hate, 
I'm not in love with you, 
But I wont hold that against you, 
You've got to tolerate, 
Some of those people that you hate, 
I'm not in love with you, 
But I wont hold that against you. 

This is a tale of 2 city/situations, 
Mutual appreciation, 
Away from narrow pre-conception, 
Avoiding conflict hyper-tension, 
Non-phobic word aerobic. 
This was my domain, 
Till someone stole my name. 

You've got to tolerate, 
All those people that you hate, 
I'm not in love with you, 
But I wont hold that against you, 
You've got to tolerate, 
Some of those people that you hate, 
I'm not in love with you, 
But I wont hold that against you. 

Let's get juxtaposed, juxtaposed, 
Just suppose I juxtapose with you You've got to tolerate, 
All those people that you hate, 
I'm not in love with you, 
But I wont hold that against you, 
You've got to tolerate, 
Some of those people that you hate, 
I'm not in love with you, 
But I wont hold that against you.",Juxtaposed with you,Rings around the World,,,
,"Monica and naughty Billy 
Got together something silly, 
Holy wars out of lusty minutes 
Another Cuban cigar crisis 
Honestly! Do we need to know 
If he really came inside her mouth? 
How will all this effect me now and later? 

You know that we belong 
In a Presidential Suite, 
Armed guards in the street 
Waving back at those who greet 
And when I look over, 
Over my shoulder, 
I can't see my past 
It seems so far away. 

Found an icon that gave him a hard one 
Little Boris just can't help himself 
Got so hot 
In the decedant nineties 
Pass another vodka dear 
We can dance 
Till the early hours of the morning catches up 
Then we'll return to business: 
If there's any of it left! 

You know that we belong 
In a Presidential Suite, 
Armed guards in the street 
Waving back at those who greet 
Yes indeed! 
You know that when we met 
There were Fireworks in the sky 
Sparkling like dragonflies 
Spelling all bad folk must die 
And when I look over, 
Over my shoulder, 
I can't see my past 
It seems so far away. 
It seems so far away 
Far away 
",Presidential Suite,Rings around the World,,,
,"Rapture 
Waiting to capture that moment 
Postponement 
Suspension of rational movement 

And bang on the hour of twelve 
To a forest clearing we'll delve 
With guns to our heads 
For we know 
That Heaven awaits us 

Dreaming of that perfect home by the Sun 
Run! Christian, Run! 

Roaming 
Roaming from all tribulation 

Leaving 
Leaving behind all damnation 

With women and children in line 
The men will then gather behind 
With knives to their throats 
They'll depart on the midnight train to Jordan. 

Still dreaming of that perfect home by the Sun 
Run! Christian, Run! 

Still wishing for that perfect home by the Sun 
Come! Kingdom, Come! ",Run! Christian Run!,Rings around the World,,,
,"Well that fragile happiness 
Keeps me from forgetting 
That this fragile happiness 
Keeps me afloat when I'm sinking 

The first generation 
Caused such a sensation 
Gave all an elation 
But I'm in deep space 9 
Hitting wormholes all of the time 

But that fragile happiness 
Stops the nightmares when I'm sleeping 
And where Catholics confess 
From my guilt there's no escaping 

We'll go to Miami 
Take old friends and family 
We'll stay out and party 
Does Will Smith lie? 
Does he ever break down and cry? ",Fragile Happiness,Rings around the World,,,
,,,,,,
,"Hello Sunshine 
(So hard to say goodbye 
Meaning it today 
I've said goodbye before 
Leaving you alone 
By the sea 
So hard to say goodbye) 

Hello sunshine 
Come into my life (X2) 

In honesty it's been a while 
Since we had reason left to smile 
Hello sunshine 
Come into my life 

I'm a minger 
You're a minger too 
So come on minger 
I want to ming with you 

In honesty it's been a while 
Since we had reason left to smile 
Hello sunshine 
Come into my life 

You're not so innocent 
You're a disgrace to your country 
If you fled a million miles 
I'd chase you for a day 
(If I could be bothered) 

Hello sunshine Hello sunshine Hello sunshine Hello sunshine Hello sunshine  
Come into my life 
",Hello Sunshine,Phantom Power,,,
,"Liberty Belle is ringing out across the sea 
And everyone sings along 
Though she's singing way out of key 
From the shores of Galilee 
To the runways of Anglesey 
You know we're digging to hell 
Right past our oil wells 
As the magpies fly from Tallahassee 
To the sky 
Memory Lane forgot her way after all this time 
And she never learned from her mistakes 
And all the crime 
That caused the gulf of misery 
That's separating you from me 
You know we're digging to hell 
Drowing in our oil wells 
As the seagulls fly from Abu Dhabi 
To the sky 

The birds still sing their melodies 
Songs of love and food and trees 
Oh my, how they fly 
So little do they know, yeah 
Yet their days are numbered so 
Alarms are ringing in the trees: 

You know you're digging to hell 
Drowning in your oil wells 
As the ashes fly from New York City 
Past the grimy clouds above New Jersey 
Past the kids who like to smoke like chimneys 
To the sky ",Liberty Belle,Phantom Power,,,
,"Hey said the devil 
When I met you at the roundabout 
She's got powers 
Magnetic devours you of everything you've got 

She's a golden retriever 
Retrieves your oldest coin 
Leads you blindly down every dark alley 
Then she'll bleed you dry 

Stop! Said the puppy 
When I met him at the zebra cross 
She said ""You need protection 
From every direction 
But she'll get you anyhow"" 

She's a golden retriever 
Retrieves your oldest coin 
Leads you blindly down every dark alley 
Then she'll bleed you dry 

She's a golden retriever 
She's a golden retriever 
Golden retriever 
Golden retriever 
Golden retriever 
Golden retriever 

Golden retriever 
Golden retriever 
Golden retriever 
Golden retriever 
",Golden retriever,Phantom Power,,,
,"Twenty Twenty Vision 2 see 
Said a little voice 2 me 
I can see 
Tell me what was it like 
When U switched off the lights 
Went to bed before midnight 
Fail to find you at home that night 
So finally 
It's got to be 
Down, down to me 
Living '94 
When me and you were at war 
I'z born a baby that didn't cry 
I programme Robots 2 make them lie 

Twenty twenty vision to see 
I can see 
So finally 
It's got to be 
Down, down to me 

If tears could kill 
I'd be a long time gone 
If tears could kill 
I'd be a long time gone 
If tears could kill 
I'd be a long time gone 
If tears could kill 
I'd be a long time gone ","Sex, War and Robots",Phantom Power,,,
,"Have you ever seen the sun 
(Have you ever seen the sun, have you ever seen the sun) 
Rising high to the sound of a gun? 
Blue and white and yellow sun 
(Blue and white and yellow sun, blue and white and yellow sun) 
Capturing imagination 
We went down to the piccolo drum 
Never made it into the hum 
Down to the piccolo 
Down to the piccolo 
Down to the piccolo snare 
Have you ever seen the sea 
(Have you ever seen the sea) 
Painted red by a bleeding army? 
Sky hawks gather for a feast 
(Sky hawks gather for a feast) 
Of pawns who will never find peace 
Tumbledown to the piccolo snare 
Never made it into the square 
Down to the piccolo 
Down to the piccolo 
No one particular cared 

Dreaming, dreaming, dreaming, dreaming 
Now! We can go home again 
To our old haunts again 
Together 
Now scatter us all around 
Far from the bugle sound 
Surrender 
Safe in the exclusion zone 
Catch me and take me home 
As brother fights brother 
Wrapped up in tarnished flags 
Banners and body bags 
Surrender! 
(Surrender!) 
Dreaming, dreaming, dreaming, dreaming 
Dreaming, dreaming, dreaming, dreaming 
Dreaming, dreaming, dreaming, dreaming 
",Picolo Snare,Phantom Power,,,
,"Father, father, I have sinned
I dunno where to begin
Give me words of advice
I'll save 'em up for a clear day
Keep your eye upon the ball
Write your thoughts upon the wall
There's some words of advice
Save 'em up for a clear day
Venus and Serena understand
(Venus and Serena understand)
Venus and Serena understand
Flushing meadows down the stream
Living life as though it's a dream
Eat the future today
Don't save it up for a rainy day
Holy bombs make holy holes
Holy holes make homeless moles
Take the turtle and hare
Don't run around when you can walk there
Venus and Serena understand
(Venus and Serena understand)
Venus and Serena understand
Father, father, father, father can't you see?
I'm a walking tragedy
Father, father, father when I look to the past
I never realized that it wouldn't last
Venus and Serena understand
(Venus and Serena understand)
Venus and Serena understand
(Venus and Serena understand)
Venus and Serena understand
(Venus and Serena understand)
Venus and Serena understand
I've one final thing to say
I'm not your father anyway
Found you under a cloud
Left outside by the wolves one day, hey",Venus and Serana,Phantom Power,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Cloud upon cloud cries poison rain 
Slate, hair, roads glisten again 
There's no console 
It's no game 
We were going places 
It's such a shame 
Bleed forever 
Seep from the stones 
Bleed forever 
Silence our tones 
Bleed forever 
Mould us like clay 
For everything we have is taken away 

The gurning gunrunner wakes from his sleep 
With no remorse for those who kick by his feet 
Skin care consultant calls the police 
But from this dungeon 
There is no release 

Bleed forever 
Seep from the stones 
Bleed forever 
Silence our tones 
Bleed forever 
Mould us like clay 
For everything we had has wasted away 

Fate decided 
Rubbing your eyes 
Men in tailcoats absorb the cries 
Milk the scapegoat 
Milk it dry 
Put it down 
And watch it die 

Bleed forever 
Seep from the stones 
Bleed forever 
Bleed to the bones 
Bleed forever 
Burn us away 
For everything we had has wasted away 
Everything we knew has wasted away ",Bleed Forever,Phantom Power,,,
,"Fast and cheap 
Ninja jihad 
Suck my Oil 
Feel my vineyard 
I am scum 
You are scum 
Bus has gone 
Bye so long 
We are scum 
We are scum 
Bus has gone 
Overrun and 

Out of control 
Out of control 
Out of control 
Out of control 

Holy wars 
Phantom Power 
Phantom lies 
On the hour 

We are one kind 
Bear it in mind 
We are one kind 
Bear it in mind 
We are one kind 
Bear it in mind 
We are one kind 
Unrefined and 

Out of control 
Out of control 
Out of control 
Out of control 
Out of control 
Out of control 
Out of control 
Out of control 
",Out of Control,Phantom Power,,,
,"She came in smelling of cabbages 
Pumpkin roots and all winter's ravages 
She came in around dawn 
Took her coat off 
Burdened down by the Russian winter 
Felt the warmth of the hearth 
Bathed a while naked in hot water 
Wash away imminent disaster 
Thinking through her today 
And the murder 
Of the bailiff and the landowner 
Felt no shame 
Only gain 

Cleansed the pike 
Peeled all the potatoes 
Beetroots ripe for bellies of gigolos 
Served it up for her son and her daughter 
For the last time she imagines 
Reprobates lie in wait 

Baby bye-bye 
(Bye-bye, bye-bye) 
(Sky) 
Bye-bye baby 
(Sky, sky) 
Skybaby 
(Sky, sky) 
Bye-bye baby 
(Sky, sky) 
Sweet vigilante 
(Sky, sky) 
Bye-bye baby 
(Sky, sky) 
Skybaby 
(Sky, sky) 
Bye-bye baby 
(Sky, sky) 
Sweet vigilante 
(Sky) 
Baby bye-bye 

",Cityscape Skybaby,Phantom Power,,,
,"Vilimus vacation 
I don't need no inoculation 
I just jump in my car and go 
For how long? 
I do not know 
The Euro Zone is my home 
Passed my driving test last year 
You know it took me a while to get there 
It was my fourth time around 
And I was in perfect mind of sound 
Underneath my chair is the road to her 

[At this point I switch my radio on] 
If it's not crap trance on the radio 
Then it's problem rock on every show 
You know they're go no more lows to go 
They're making too much money 
And taking too much Blow 
Your mind is behind 

[And this is total nowness] 
Fly away in my silver Bluebird 
Some would argue that it's grey 
Fly away in my silver Bluebird 
Sleep in lay-bys on the way 

[Coming up to Berlin I have a mild accident] 
Well it's Solvent Abuse Awareness Week 
At the clinic in a Berlin backyard 
Sleek as the big lump on my head 
I could really do with a bath and a bed 
But underneath my chair 
Is the road to her 

[So I just head on for Poland, and, er...] 
Reach my destination with no satellite navigation system 
Just a map and a clear mind 
If I run out of bucks 
Maybe I'll drive a truck 
But it's a lonely way to make some pay 

Fly away in my silver Bluebird 
Some would argue that it's grey 
Fly away in my silver Bluebird 
Sleep in lay-bys on the way 
Fly, Fly away 
Fly, Fly away 
Fly, Fly away 
Valet! Valet! 
",Valet Parking,Phantom Power,,,
,"Noise pollution solution, solution 
I, I loose again 
You are the victor 
I confess 
You are David and Goliath 
I'm but the dirt 
Beneath your feet 

But so shallow the Undefeated 
(Noise pollution solution) 
But so shallow the Undefeated 

Step, step into my shoes 
I'll try and make you understand 
I live my life without a plan 
I need no guidance 
Just your patience 

For so shallow the undefeated 
(Noise pollution solution) 
For so shallow the undefeated 

Every animal has its day 
We will chase the Phantoms away 

For so shallow the undefeated 
(Noise pollution solution) 
Yes so shallow the undefeated 
Yes so shallow the undefeated 
(Noise pollution solution) 
Yes so shallow the undefeated 
For so shallow the undefeated 
Yes so shallow the undefeated 
Yes so shallow the undefeated 
",The undefeated,Phantom Power,,,
,"Move you 
Buy and sell you 
Terrorise you 
Mass destruct you 
Flaunt you 
Disconnect you 
Cluster fuck you 
We will crush you 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 

I see television 
Pretty pictures 
Of starvation 
Icy cold fractures 
I see fragments 

Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life 
Rocks are slow life ",Slow Life,Phantom Power,,,
,,,,,,
,"Took you to a movie 
But you moved away. 
Froze into a standstill; 
My feet turned to clay. 
Looked into the sky for 
some good advice, 
A curious shadow 
angle poised, 
Circled twice then tossed 
me a Carcass 

Sold you a Dalmatian, 
But the spots fell off, 
Pooled them all together, 
As a hairy moth, 
Bred it with a lion 
but it flew away, 
Now it chases drones 
around the sky; 
Growls and grunts 'til you 
feed it a blemish 

I can't get enough of it 
Kiss me with Apocalypse 
An instant hit 

Saw the Virgin Mary, 
She was crying blood, 
Tears congregate 
Into a mighty flood, 
Gave her some directions 
to a specialist, 
An eye doctor to help her cyst, 
She took the wrong turn, 
to the family planning. 

Saw Lord Lucan riding Shergar 
to the shops last night, 
Couldn't be positive in 
candle light, 
Chased them in a Mustang 
to a Quick Save till, 
Searched for words to fit the bill, 
Dug myslef a hole, 
Then I fell into a vacuum 

I can't get enough of it 
Kiss me with Apocalypse 
An instant hit ",Zoom!,Love Kraft,,,
,"If your moon should eclipse me 
And block out my sun 
Ride on typhoons and hurricanes 
Watch skymap on re-run 

Fine times to walk on wine 
Heads down no stress 
Find some atomik lust 
Whenever, more or less 

So long, the thrills long gone 
No more duress 
No more atomik lust 
Whenever, more or less 

Let's get our shit together 
Insane with crackbrainz 
I'd love to see the ending someday 
Of Citizen Kane 

Fine times to walk on wine 
Heads down no stress 
Find some atomik lust 
Whenever, more or less ",Atomik Lust,Love Kraft,,,
,"Go, go with the flow 
Rock, rock the freeway 
Drink, smoke, love enjoy the ride 
Right or wrong 
Hair down long 
We vote her out 
Nationwide screams and shouts 

Go, go with the flow 
Rock, rock the freeway 
Millions of bees feed on honey trees 
Join the core 
Add some more 
You choose the places 
Final resting place face to face 

Twinkle twinkle 
Rain and cars 
Twinkle twinkle 
City Arms 
Twinkle twinkle 
Rain and cars 
Twinke twinkle 
City Arms 

Go, go with the flow 
Rock, rock the freeway 
Go, go with the flow ",The horn ,Love Kraft,,,
,"Sycamore trees blowing green in the distance 
She sucked on her thumb in her beautiful jail 
A sentence to serve as her dynasty blows up inside her balloon 
Salty Maureen had a bun in the oven 
The daughters of charity let out a sigh 
As she suffered they pleaded for mercy she needed a long time ago 

A long time ago 
In the greenest cypress groves 
We were beaming golden glow 

Ohio heat 
Sweet as sugar from a beet 
Sleek as foxes in the street 
Evolution seemed complete 

Day after day and hour upon hour 
She counted the seconds till she could no more 
As she climbed through the window and lowered herself with some sheets all tied up 
Ran through the fields till the ocean got closer 
Found a deserted and rusty old boat 
As she fled for her life she did capsize and die a long time ago 

A long time ago 
In the greenest cypress groves 
We were beaming golden glow 

Ohio heat 
Sweet as sugar from a beet 
Sleek as foxes in the street 
Evolution seemed complete 

Ohio heat 
Sweet as sugar from a beet 
Sleek as foxes in the street 
Evolution seemed complete 
Ohio heat 
Blowing bubblegums discreet 
Now there's flowers on the street 
Where she smoked and skipped her feet 
From time to time on the flying tiger line 
She appears in my sleep when my dreams are lucid deep 
Ohio heat 
Sweet as sugar from a beet 
Sleek as foxes in the street 
Evolution seemed complete 
Ohio heat 
Ohio heat ",Ohio Heat,Love Kraft,,,
,"Can't forget that smile 
Can't believe we met 
Such a sudden kiss 
And you never even said goodbye 

The future ain't what it used to be 
I'll always think of you lovingly 

Seasons change 
And rearrange 
A new light shines 
(If she read my mind) 
""You could be drinking with me"" 
""So why don't you go up and ask?"" 
I'm so very shy 
I couldn't look at her in the eye 

When the lights came on I knew it was time to go 
One thing I know I must never do ever again is delay 
In asking you if I could ever be able to (if I might ever be) 
I don't know (I don't know what to say) 
Shit, I've fucked up again (I've fucked up again) 

I wanna walk you home tonight 
Please can I walk you home tonight? 
I wanna walk you home tonight 
Please can I walk you home tonight? 
I wanna walk you home tonight 
Please can I walk you home tonight? 
I wanna walk you home tonight 
Please can I walk you home tonight? 
I've been scared of asking you 
Just incase you might let me down girl 
Don't let me down girl 
Don't let me down girl 
Don't let me down girl",Walk you home,Love Kraft,,,
,"Introducing a radical new vision 
No more imperial colonial bastards 
No more romantic comedies 
This is a fanfare introduction 
To a high-powered purposeful theme 

Take a shine of our lazer beam 
And we'll cleanse all the evil within you 
Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you
The resistance 
In the distance 
Creeping closer 
Have no fear 
Land in anguish 
We escape it 
In our rocket 
Propelled spaceship 

Take a shine of our lazer beam 
And we'll cleanse all the evil within you 
Take a shine of our lazer beam 
And we'll cleanse all the evil within you 

Human being 
Human doing 
Human error 
Human terror 
Human nature 
Human hate you 
Human crying 
Human leaving 

Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you


We will conquer utopia in space chariots 

Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you Take a shine of our lazer beam 
And we'll cleanse all the evil within you

Point your random finger 
Point it to the sky 
Point your random finger 
Come on and testify 
Human kind loves money 
We just love to fly 
(Fly, fly, fly) 
So point your random finger 
Come on and testify",Frequency,Love Kraft,,,
,"There goes my life 
Ticking away 
There goes my life 
Slipping away 
Long to sleep later 
But alarms keep ringing 

Take another leaflet from the stand 
Put a steak on some land 
Bring another baby to the world 
Clone a boy then a girl 

Famine and war 
Babies and plague 
Or angle-poise lamps 
Limos and shades 
Polar bears 
Molting as the ice caps melt down 

Take another leaflet from the stand 
Put a steak on some land 
Bring another baby to the world 
Clone a boy then a girl 

Hand in hand we can break the command Hand in hand we can break the command Hand in hand we can break the command Hand in hand we can break the command 

Take another leaflet from the stand 
Choose a color that's bland 
Win the burger franchise for the world 
Win the ranch, get the girl 
You say history will be your judge 
But the jury's whipped, gagged and drugged 
Take away the blinkers from your eyes 
Humans split, polarised ",Oi Frango,Love Kraft,,,
,"Pterodactyl, brontosaurus 
Tyrannosaurus Rex 
Gather around 
The sound of thunder now awaits us 
A meteorite is coming on down 

Count your chicken 
We're taking over 
Take the turbulence and twinkle your toes 
Count your chicken 
We're taking over 
Take the pressure and take it away 

Chicken, chicken 
Keep on talking 
See a mothership in the sky 
Space invader taking over 
Time is chicken 
Ticking away 

Count your chicken 
We're taking over 
Take the turbulence and twinkle your toes 
Count your chicken 
We're taking over 
Take the pressure and take it away 

 I feel a Psyclone coming on 
I feel a Psyclone coming on 
I feel a Psyclone coming on 
I feel a Psyclone coming on 


Count your chicken 
We're taking over 
Take the turbulence and twinkle your toes 
Count your chicken 
We're taking over 
Take the pressure and take it away 

I feel a Psyclone coming on 
I feel a Psyclone coming on 
I feel a Psyclone coming on 
I feel a Psyclone coming on 

",Pysclone,Love Kraft,,,
,"Back on a roll 
Records gone gold 
Get on with the show 

Don't see the point of us going home 
Yes we rock and roll 
Buying shit on the go 
Driving denver snow 
Getting on with the show 
On with the show 
Back on a roll 
Don't see the point of us going home 
Back on a roll 
Records gone gold 
Get on with the show 

No need to fucking phone home 
Yes we work in the dark 
Sometimes living it large 
Colours we can see 
Listen cat frequency 
Cat frequency 
Those cat frequency 
Hello kitty remember me 

Back on a roll 
Records gone gold 
Get on with the show 
Hello kitty remember me 

Purr 

Yeah 
Hell yeah 
Yeah 
Yeah 

Back on a roll 

Get on with the show 
No going home 

Back on a roll 
Get on with the show 

No going home 
No going home ",Back on a roll,Love Kraft,,,
,"1. humming bird 

She came into the room 
Didn't know her name 
How I danced inside 
No one to confide 
In the darkest winter 
I made a sound like a long lost humming bird 

2. friends of friends 

Took a CIRCLE of friends 
To the village SQUARE 
Old love TRIANGLES 
Made us so aware 
Of a distant era 
But we're still here 
To sing as humming birds 

3. locust death march ",Cloudberries,Love Kraft,,,
,"Welcome back my friend 
Where the hell have you been 
It's nice to feel that smile again 
I can see 
You can see 
Wait and see 
The things that were once said 
We'll put away to bed 
Forget me not and learn I will 
It's not so hard to love again 
There's nothing we can't do 
Time, it passed me bye 
When we thought of you 
And never more we're evermore 

The snail it moves so slow 
As I look down below 
And from above I see so clear 
This birdseye view that we now fear 
Some things we can't explain 
Can't believe we're there again 
Snap out of it my friend 
No, no, no, no, no, no, no 

""We said goodbye today 
Don't need you anyway 
Praise the Lord, send it on 
Pass the ammunition"" 

The time when you were near 
We had nothing left to fear 
But no more than... 
Just as if no reason why 
If we are to change that we should still go on 
It's nice to know your here and we got there in the end 
The future is now wide open and clear ",Cabin Fever,Love Kraft,,,
,,,,,,
,"This song is a gateway song. 
Why don't you sing a long long 
to the gateway song. 
Brings us up nicely to the harder stuff. 
And once you get hooked, 
You can't get enough. 

This son is a gateway song. 
It's a numero uno sign along. 
Opens up nicely to the harder stuff. 
And once you get hooked 
you can't get enough. 
This song is the gateway song. 
",Gateway Song,Hey! Venus,,,
,"I could have told you anything:
Exept the truth which burns my middle
Run away: that's what I did today
Run away: there's nothing I could have said
You found another love:
Someone to wipe away your tears
I left it all behind of me:
Never to turn and face my fears
We may have fought with teeth and nails:
I still recall your banking details
Run away: that's what I did today
Run away: there's nothing
I could have said
But cry a little
Lie a little
Die, just a little
[This song is based on a true story
Which would be fine if it wasn't autobiographical]
I could have told you why:
It would have made me cry a little
I could have told you lies:
It would have made me die a little",Run Away,Hey! Venus,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"I can see flowers wilting in the sun. 
Dellusions of grandour 
can overcome anyone. 
You're perched so neatly on the fence. 
You're keeping your cards all to yourself. 

Show your hand now Show your hand now Show your hand now Show your hand now
I'm jumping off the fence, 
Into your corner 

Turn your face to the sunshine. 
And all the shadows will fall behind. 
Look to your future. 
Leave your troubles to one side. 
Your walked the plank 
and made it through: 
The chances a million to two point two. 
Whatever. 

Show your hand now Show your hand now Show your hand now Show your hand now 
I'm jumping off the fence 
Into your corner 

Bah Bah Bah! 

Show your hand now Show your hand now Show your hand now Show your hand now
I'm jumping off the fence 
Into your corner 

Show your hand now Show your hand now Show your hand now Show your hand now
I'm placing all my bets, 
On to one number. 

Show your hand now Show your hand now Show your hand now Show your hand now 
Jumping off the fence 
I'm jumping off the fence I'm jumping off the fence I'm jumping off the fence 
Into your corner.",Show your Hand,Hey! Venus,,,
